GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
Overall,2014-15,419,819,0.512,2,7,0.286,0.513,67,0.739,0.261,1.0,0.0,0.74,0.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shot Distance (5ft),Less Than 5 ft.,246,379,0.649,0,0,0.0,0.649,43,0.797,0.203,0.0,0.0,0.797,0.203,1,1,1,2,5,2,1,9,3,3,2,1,3,3
Shot Distance (5ft),5-9 ft.,92,202,0.455,0,0,0.0,0.455,22,0.609,0.391,0.0,0.0,0.609,0.391,2,2,2,2,5,2,3,8,4,2,2,1,4,2
Shot Distance (5ft),10-14 ft.,33,101,0.327,0,0,0.0,0.327,1,0.515,0.485,0.0,0.0,0.515,0.485,4,4,5,2,5,2,5,6,5,1,2,1,5,1
Shot Distance (5ft),15-19 ft.,39,112,0.348,0,0,0.0,0.348,1,0.821,0.179,0.0,0.0,0.821,0.179,3,3,4,2,5,2,4,6,2,4,2,1,2,4
Shot Distance (5ft),20-24 ft.,9,20,0.45,2,2,1.0,0.5,0,1.0,0.0,1.0,0.0,1.0,0.0,5,5,3,1,1,1,2,1,1,5,1,1,1,5
Shot Distance (5ft),25-29 ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,2,1,2,6,1,6,5,2,1,6,5
Shot Distance (5ft),30-34 ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,6,2,4,2,6,1,6,5,2,1,6,5
Shot Distance (5ft),35-39 ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,6,2,5,2,6,1,6,5,2,1,6,5
Shot Distance (5ft),40+ ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,2,1,2,6,1,6,5,2,1,6,5
Shot Distance (8ft),Less Than 8 ft.,305,512,0.596,0,0,0.0,0.596,57,0.761,0.239,0.0,0.0,0.761,0.239,1,1,1,2,3,2,2,5,2,2,2,1,3,2
Shot Distance (8ft),8-16 ft.,70,182,0.385,0,0,0.0,0.385,9,0.543,0.457,0.0,0.0,0.543,0.457,2,2,3,2,3,2,3,4,3,1,2,1,4,1
Shot Distance (8ft),16-24 ft.,42,118,0.356,0,0,0.0,0.356,1,0.905,0.095,0.0,0.0,0.905,0.095,3,3,4,2,3,2,4,3,1,3,2,1,2,3
Shot Distance (8ft),24+ ft.,2,5,0.4,2,5,0.4,0.6,0,0.0,0.0,1.0,0.0,1.0,0.0,4,4,2,1,1,1,1,1,4,4,1,1,1,4
Shot Distance (8ft),Back Court Shot,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,2,2,2,5,1,4,4,2,1,5,4
Shot Area,Restricted Area,225,330,0.682,0,0,0.0,0.682,32,0.809,0.191,0.0,0.0,0.809,0.191,1,1,1,2,4,2,1,7,1,2,2,1,1,2
Shot Area,In The Paint (Non-RA),98,241,0.407,0,0,0.0,0.407,29,0.643,0.357,0.0,0.0,0.643,0.357,2,2,2,2,4,2,2,6,3,1,2,1,3,1
Shot Area,Mid-Range,94,241,0.39,0,0,0.0,0.39,6,0.67,0.33,0.0,0.0,0.67,0.33,3,2,3,2,4,2,3,5,2,3,2,1,2,3
Shot Area,Left Corner 3,2,2,1.0,2,2,1.0,1.5,0,0.0,0.0,1.0,0.0,1.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,4,4
Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,5,2,4,2,5,1,4,4,2,1,5,4
Shot Area,Above the Break 3,0,3,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,5,2,1,2,5,1,4,4,2,1,5,4
Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,2,2,2,5,1,4,4,2,1,5,4
Assisted Shot,Assisted,310,310,1.0,2,2,1.0,1.003,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2
Assisted Shot,Unassisted,109,109,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1
Shot Type Summary,Alley Oop,9,9,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0
Shot Type Summary,Bank Shot,61,108,0.565,0,0,0.0,0.565,3,0.508,0.492,0.0,0.0,0.508,0.492
Shot Type Summary,Dunk,42,47,0.894,0,0,0.0,0.894,2,0.952,0.048,0.0,0.0,0.952,0.048
Shot Type Summary,Fadeaway,3,9,0.333,0,0,0.0,0.333,0,0.667,0.333,0.0,0.0,0.667,0.333
Shot Type Summary,Finger Roll,6,6,1.0,0,0,0.0,1.0,0,0.833,0.167,0.0,0.0,0.833,0.167
Shot Type Summary,Hook Shot,23,39,0.59,0,0,0.0,0.59,2,0.565,0.435,0.0,0.0,0.565,0.435
Shot Type Summary,Jump Shot,168,449,0.374,2,7,0.286,0.376,39,0.765,0.235,1.0,0.0,0.768,0.232
Shot Type Summary,Layup,152,219,0.694,0,0,0.0,0.694,22,0.829,0.171,0.0,0.0,0.829,0.171
Shot Type Summary,Tip Shot,13,28,0.464,0,0,0.0,0.464,0,0.0,1.0,0.0,0.0,0.0,1.0
Shot Type Detail,Alley Oop Dunk Shot,1,1,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,28,35,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Alley Oop Layup shot,8,8,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,10,13,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Driving Bank shot,1,2,0.5,0,0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.0,1.0,28,25,26,2,3,2,26,1,30,1,2,1,30,1
Shot Type Detail,Driving Dunk Shot,2,2,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,20,25,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Driving Finger Roll Layup Shot,2,2,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,20,25,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Driving Hook Shot,1,1,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,28,35,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Driving Jump shot,1,2,0.5,0,0,0.0,0.5,0,0.0,1.0,0.0,0.0,0.0,1.0,28,25,26,2,3,2,26,1,30,1,2,1,30,1
Shot Type Detail,Driving Layup Shot,3,6,0.5,0,0,0.0,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,19,14,26,2,3,2,26,41,1,22,2,1,1,22
Shot Type Detail,Driving Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Driving Slam Dunk Shot,1,1,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,28,35,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Dunk Shot,30,33,0.909,0,0,0.0,0.909,2,1.0,0.0,0.0,0.0,1.0,0.0,3,5,14,2,3,2,14,41,1,22,2,1,1,22
Shot Type Detail,Fadeaway Bank shot,2,3,0.667,0,0,0.0,0.667,0,0.5,0.5,0.0,0.0,0.5,0.5,20,22,15,2,3,2,15,1,25,11,2,1,25,11
Shot Type Detail,Fadeaway Jump Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,35,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Finger Roll Layup Shot,4,4,1.0,0,0,0.0,1.0,0,0.75,0.25,0.0,0.0,0.75,0.25,13,19,1,2,3,2,1,1,21,16,2,1,21,16
Shot Type Detail,Floating Jump shot,4,6,0.667,0,0,0.0,0.667,0,1.0,0.0,0.0,0.0,1.0,0.0,13,14,15,2,3,2,15,1,1,22,2,1,1,22
Shot Type Detail,Hook Bank Shot,2,2,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,20,25,1,2,3,2,1,1,30,1,2,1,30,1
Shot Type Detail,Hook Shot,9,16,0.563,0,0,0.0,0.563,2,0.667,0.333,0.0,0.0,0.667,0.333,9,8,24,2,3,2,24,41,23,15,2,1,23,15
Shot Type Detail,Jump Bank Hook Shot,1,2,0.5,0,0,0.0,0.5,0,1.0,0.0,0.0,0.0,1.0,0.0,28,25,26,2,3,2,26,1,1,22,2,1,1,22
Shot Type Detail,Jump Bank Shot,29,56,0.518,0,0,0.0,0.518,1,0.793,0.207,0.0,0.0,0.793,0.207,4,3,25,2,3,2,25,37,20,18,2,1,20,18
Shot Type Detail,Jump Hook Shot,5,10,0.5,0,0,0.0,0.5,0,0.6,0.4,0.0,0.0,0.6,0.4,12,11,26,2,3,2,26,1,24,14,2,1,24,14
Shot Type Detail,Jump Shot,106,315,0.337,2,6,0.333,0.34,31,0.837,0.163,1.0,0.0,0.84,0.16,2,1,34,1,1,1,34,47,18,20,1,1,18,20
Shot Type Detail,Layup Shot,113,172,0.657,0,0,0.0,0.657,19,0.832,0.168,0.0,0.0,0.832,0.168,1,2,21,2,3,2,21,46,19,19,2,1,19,19
Shot Type Detail,Pullup Bank shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Pullup Jump shot,1,1,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,28,35,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Putback Dunk Shot,2,3,0.667,0,0,0.0,0.667,0,0.0,1.0,0.0,0.0,0.0,1.0,20,22,15,2,3,2,15,1,30,1,2,1,30,1
Shot Type Detail,Putback Layup Shot,4,6,0.667,0,0,0.0,0.667,0,0.0,1.0,0.0,0.0,0.0,1.0,13,14,15,2,3,2,15,1,30,1,2,1,30,1
Shot Type Detail,Putback Slam Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Reverse Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Reverse Layup Shot,14,15,0.933,0,0,0.0,0.933,0,0.857,0.143,0.0,0.0,0.857,0.143,7,9,13,2,3,2,13,1,17,21,2,1,17,21
Shot Type Detail,Running Bank Hook Shot,2,2,1.0,0,0,0.0,1.0,0,0.5,0.5,0.0,0.0,0.5,0.5,20,25,1,2,3,2,1,1,25,11,2,1,25,11
Shot Type Detail,Running Bank shot,6,10,0.6,0,0,0.0,0.6,1,0.5,0.5,0.0,0.0,0.5,0.5,11,11,22,2,3,2,22,37,25,11,2,1,25,11
Shot Type Detail,Running Dunk Shot,2,3,0.667,0,0,0.0,0.667,0,1.0,0.0,0.0,0.0,1.0,0.0,20,22,15,2,3,2,15,1,1,22,2,1,1,22
Shot Type Detail,Running Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Running Hook Shot,2,2,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,20,25,1,2,3,2,1,1,30,1,2,1,30,1
Shot Type Detail,Running Jump Shot,4,15,0.267,0,1,0.0,0.267,4,0.75,0.25,0.0,0.0,0.75,0.25,13,9,35,2,2,2,35,45,21,16,2,1,21,16
Shot Type Detail,Running Layup Shot,4,6,0.667,0,0,0.0,0.667,1,1.0,0.0,0.0,0.0,1.0,0.0,13,14,15,2,3,2,15,37,1,22,2,1,1,22
Shot Type Detail,Running Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Running Slam Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Running Tip Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,40,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Slam Dunk Shot,4,4,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13,19,1,2,3,2,1,1,1,22,2,1,1,22
Shot Type Detail,Step Back Jump shot,1,4,0.25,0,0,0.0,0.25,0,0.0,1.0,0.0,0.0,0.0,1.0,28,19,36,2,3,2,36,1,30,1,2,1,30,1
Shot Type Detail,Tip Shot,13,28,0.464,0,0,0.0,0.464,0,0.0,1.0,0.0,0.0,0.0,1.0,8,7,32,2,3,2,32,1,30,1,2,1,30,1
Shot Type Detail,Turnaround Bank Hook Shot,1,2,0.5,0,0,0.0,0.5,0,1.0,0.0,0.0,0.0,1.0,0.0,28,25,26,2,3,2,26,1,1,22,2,1,1,22
Shot Type Detail,Turnaround Bank shot,17,29,0.586,0,0,0.0,0.586,1,0.059,0.941,0.0,0.0,0.059,0.941,5,6,23,2,3,2,23,37,29,9,2,1,29,9
Shot Type Detail,Turnaround Fadeaway shot,1,5,0.2,0,0,0.0,0.2,0,1.0,0.0,0.0,0.0,1.0,0.0,28,18,37,2,3,2,37,1,1,22,2,1,1,22
Shot Type Detail,Turnaround Hook Shot,0,2,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,25,38,2,3,2,38,1,30,22,2,1,30,22
Shot Type Detail,Turnaround Jump Shot,16,37,0.432,0,0,0.0,0.432,3,0.313,0.688,0.0,0.0,0.313,0.688,6,4,33,2,3,2,33,44,28,10,2,1,28,10
Assisted By,203937,"Anderson, Kyle",3,3,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11,11,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,203382,"Baynes, Aron",3,3,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11,11,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201158,"Belinelli, Marco",16,16,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,8,8,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,2588,"Bonner, Matt",4,4,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,10,10,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201948,"Daye, Austin",2,2,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13,13,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,2564,"Diaw, Boris",31,31,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,4,4,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,1938,"Ginobili, Manu",45,45,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201980,"Green, Danny",43,43,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,202709,"Joseph, Cory",18,18,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,7,7,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,202695,"Leonard, Kawhi",27,27,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,5,5,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,201988,"Mills, Patty",5,5,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,9,9,1,2,2,2,2,1,1,1,2,1,1,1
Assisted By,2225,"Parker, Tony",94,94,1.0,2,2,1.0,1.011,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Assisted By,201168,"Splitter, Tiago",19,19,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,6,6,1,2,2,2,2,1,1,1,2,1,1,1
