Rk,Player,Pos,PG%,SG%,SF%,PF%,C%,-9999
1,Tyrese Maxey,PG,99,1,0,0,0,bookede01
2,Brandon Ingram,SF,0,4,80,17,0,maxeyty01
3,Scottie Barnes,PF,0,0,0,80,20,hachiru01
4,Deni Avdija,SF,0,27,62,11,0,gilgesh01
5,James Harden,PG,37,62,1,0,0,allengr01
6,Trey Murphy III,SF,0,6,78,16,0,edgecvj01
7,Dyson Daniels,SG,0,52,47,1,0,oubreke01
8,Toumani Camara,PF,0,0,2,75,24,markkla01
9,Ryan Rollins,PG,91,9,0,0,0,derozde01
10,Miles Bridges,PF,0,0,4,95,1,cunnica01
11,Nikola Jokić,C,0,0,0,0,100,pritcpa01
12,Desmond Bane,SG,3,72,25,0,0,whitede01
13,Mikal Bridges,SF,0,7,43,49,0,onealro01
14,Ivica Zubac,C,0,0,0,0,100,siakapa01
15,Evan Mobley,PF,0,0,0,30,71,murphtr02
16,DeMar DeRozan,PF,0,0,43,56,0,bridgmi01
17,Julius Randle,PF,0,0,1,96,4,brownja02
18,Payton Pritchard,PG,100,0,0,0,0,randlju01
19,Cooper Flagg,SF,0,3,38,56,3,kuminjo01
20,Immanuel Quickley,PG,87,13,0,0,0,georgke01
21,Jaylen Brown,SF,0,9,78,13,0,washipj01
22,Kon Knueppel,SF,1,26,65,8,0,banchpa01
23,Franz Wagner,SF,0,0,44,54,1,laravja01
24,Jamal Murray,PG,100,0,0,0,0,wagnefr01
25,Amen Thompson,PG,78,19,3,0,0,mobleev01
26,Shai Gilgeous-Alexander,PG,100,0,0,0,0,brunsja01
27,Derrick White,SG,7,87,6,0,0,anunoog01
28,Donovan Mitchell,SG,32,54,14,0,0,harteis01
29,Pascal Siakam,PF,0,0,15,79,6,bridgmi02
30,Devin Vassell,SG,23,64,13,0,0,avdijde01
31,Austin Reaves,SG,13,51,35,1,0,townska01
32,Jalen Johnson,SF,0,0,5,96,0,reaveau01
33,Lauri Markkanen,PF,0,0,17,70,13,podzibr01
34,Keyonte George,PG,100,0,0,0,0,camarto01
35,Jalen Brunson,PG,100,0,0,0,0,flaggco01
36,Cade Cunningham,PG,85,15,0,0,0,holidjr01
37,Devin Booker,SG,10,62,28,1,0,schrode01
38,Karl-Anthony Towns,C,0,0,0,0,100,ingrabr01
39,Rui Hachimura,PF,0,0,0,92,8,daniedy01
40,Rudy Gobert,C,0,0,0,0,100,mcdanja02
41,Nickeil Alexander-Walker,SG,56,41,4,0,0,jacksja02
42,Myles Turner,C,0,0,0,0,100,barrerj01
43,Harrison Barnes,PF,0,0,8,87,5,lavinza01
44,Donte DiVincenzo,SG,49,50,1,0,0,barnesc01
45,Jaden McDaniels,PF,0,1,94,6,0,robindu01
46,Royce O'Neale,SF,0,12,77,12,0,sengual01
47,Onyeka Okongwu,C,0,0,0,8,92,goberru01
48,Zach LaVine,SG,27,42,27,4,0,nesmiaa01
49,Saddiq Bey,SF,0,0,19,81,1,grimequ01
50,Davion Mitchell,PG,100,0,0,0,0,aytonde01
51,Quentin Grimes,SG,0,43,57,0,0,wiggian01
52,Andrew Wiggins,SF,0,23,44,33,0,butleji01
53,Max Christie,SG,11,81,8,0,0,curryst01
54,Gary Trent Jr.,SG,0,25,75,0,0,wiggiaa01
55,Russell Westbrook,SF,0,35,55,10,0,alexani01
56,Alperen Şengün,C,0,0,0,32,68,divindo01
57,Jeremiah Fears,PG,89,11,0,0,0,rolliry01
58,Josh Giddey,PG,57,42,1,0,0,duranke01
59,Jerami Grant,PF,0,0,43,53,4,walkeja02
60,Wendell Carter Jr.,C,0,0,0,0,100,georgky01
61,Kevin Durant,SF,0,26,66,8,0,jokicni01
62,Anthony Black,PG,47,51,1,0,0,mitchaj01
63,Jabari Smith Jr.,PF,0,0,19,77,3,quickim01
64,Jaime Jaquez Jr.,SF,2,20,38,40,0,thompam01
65,Duncan Robinson,SF,0,10,74,16,0,adebaba01
66,A.J. Green,SG,2,89,10,0,0,knuepko01
67,Nic Claxton,C,0,0,0,0,100,simonan01
68,Brandin Podziemski,SG,29,54,17,1,0,vassede01
69,Cameron Johnson,SF,0,0,45,55,0,wallaca01
70,Julian Champagnie,SF,0,5,68,27,0,chrisma02
71,VJ Edgecombe,SG,23,78,0,0,0,moranja01
72,Naji Marshall,SF,0,8,70,22,0,giddejo01
73,Anthony Edwards,SG,2,67,32,0,0,cowarce01
74,Josh Hart,SF,0,16,72,12,0,greendr01
75,Collin Gillespie,PG,89,11,0,0,0,mitchdo01
76,John Collins,PF,0,0,0,94,6,wembavi01
77,Nikola Vučević,C,0,0,0,0,100,mitchda01
78,Luka Dončić,PG,80,20,0,0,0,hardeja01
79,Cason Wallace,SG,18,67,16,0,0,grantje01
80,CJ McCollum,SG,57,43,0,0,0,murraja01
81,Kris Dunn,PG,87,13,0,0,0,jaqueja01
82,Ajay Mitchell,SG,21,38,38,4,0,joneshe01
83,Derik Queen,C,0,0,0,8,92,okongon01
84,Matas Buzelis,PF,0,0,0,93,7,banede01
85,Kyle Kuzma,PF,0,0,48,52,0,claxtni01
86,Cedric Coward,SG,0,66,32,2,0,trentga02
87,Peyton Watson,SF,0,32,40,29,0,zubaciv01
88,Noah Clowney,PF,0,0,9,84,7,westbru01
89,Jimmy Butler,SF,0,11,41,47,0,castlst01
90,Deandre Ayton,C,0,0,0,0,100,wellsja01
91,Jaren Jackson Jr.,C,0,0,0,57,43,turnemy01
92,P.J. Washington,PF,0,0,4,85,11,portemi01
93,Jaylen Wells,SG,0,3,85,12,0,cartewe01
94,Kyshawn George,SF,0,1,44,53,3,mykhasv01
95,Sion James,SG,4,68,28,0,0,thomaca02
96,Santi Aldama,PF,0,0,8,87,5,dunnry01
97,Jarace Walker,PF,0,5,77,17,0,vucevni01
98,Michael Porter Jr.,SF,0,4,59,37,0,caldwke01
99,Naz Reid,C,0,0,0,45,55,gilleco01
100,Norman Powell,SG,4,95,1,0,0,mannte01
101,Jalen Duren,C,0,0,0,0,100,sarral01
102,De'Andre Hunter,SF,0,8,63,29,0,thompau01
103,Kel'el Ware,C,0,0,0,0,100,dortlu01
104,Chet Holmgren,PF,0,0,5,50,45,johnsja05
105,Svi Mykhailiuk,SF,1,80,20,0,0,aldamsa01
106,Tim Hardaway Jr.,SG,10,51,38,2,0,braunch01
107,Shaedon Sharpe,SG,36,59,4,1,0,kalkbry01
108,Anfernee Simons,SG,53,47,0,0,0,carrica01
109,Tristan Da Silva,SF,0,8,83,9,0,mccolcj01
110,Dillon Brooks,SF,0,0,11,87,2,antetgi01
111,Jake LaRavia,PF,0,7,67,25,1,sheppbe01
112,Bam Adebayo,C,0,0,0,21,79,greenaj01
113,Keldon Johnson,SF,0,31,61,8,0,landajo01
114,Moses Moody,SG,0,21,65,15,0,sharpsh01
115,Kris Murray,SF,4,52,36,8,0,hausesa01
116,Bobby Portis,PF,0,0,0,70,30,gordoaa01
117,Bruce Brown,SG,37,61,2,0,0,poolejo01
118,Bub Carrington,PG,100,0,0,0,0,durenja01
119,Draymond Green,PF,0,0,18,54,28,sextoco01
120,Jose Alvarado,PG,100,0,0,0,0,blackan01
121,Ryan Kalkbrenner,C,0,0,0,0,100,champju02
122,Ausar Thompson,SF,2,59,37,3,0,barneha02
123,Sam Hauser,PF,0,0,11,85,4,sabondo01
124,Neemias Queta,C,0,0,0,0,100,quetane01
125,Ayo Dosunmu,SG,6,66,27,1,0,jonestr01
126,Terance Mann,SG,15,67,18,0,0,smithja05
127,Jaylon Tyson,SG,0,27,64,9,0,johnstr03
128,Ben Sheppard,SG,25,66,9,0,0,buzelma01
129,Reed Sheppard,SG,23,60,18,0,0,fearsje01
130,Zaccharie Risacher,SF,0,4,91,5,0,kennalu01
131,Miles McBride,SG,32,68,0,0,0,willima07
132,Ace Bailey,SF,0,6,90,5,0,smartma01
133,Jusuf Nurkić,C,0,0,0,0,100,leonaka01
134,Donovan Clingan,C,0,0,0,0,100,ballla01
135,Collin Sexton,SG,50,48,2,0,0,tysonja01
136,Isaiah Hartenstein,C,0,0,0,0,100,beysa01
137,Kentavious Caldwell-Pope,SG,1,89,10,0,0,stewais01
138,RJ Barrett,SF,0,58,38,4,0,clingdo01
139,Pelle Larsson,SG,0,33,66,0,0,doncilu01
140,Dennis Schröder,PG,100,0,0,0,0,jamessi01
141,Malik Monk,SG,31,56,13,0,0,collijo01
142,Herbert Jones,SF,0,65,29,6,0,jonesde02
143,Grayson Allen,SG,46,45,8,1,0,harrito02
144,De'Aaron Fox,PG,100,0,0,0,0,dunnkr01
145,Mark Williams,C,0,0,0,0,100,marshna01
146,Moussa Diabaté,C,0,0,0,4,96,johnsca02
147,Jamal Shead,PG,100,0,0,0,0,reidna01
148,Jock Landale,C,0,0,0,0,100,russeda01
149,Dean Wade,PF,0,0,6,79,15,clownno01
150,Cam Spencer,SG,60,38,2,0,0,minotjo01
151,Jalen Suggs,PG,91,9,0,0,0,easonta01
152,Ron Holland,SF,0,0,30,70,0,vandeja01
153,Klay Thompson,SF,6,43,48,3,0,hollaro01
154,Kyle Filipowski,C,0,0,0,40,60,huertke01
155,Brandon Williams,PG,99,1,0,0,0,conlemi01
156,Stephen Curry,PG,100,0,0,0,0,nurkiju01
157,Andrew Nembhard,PG,87,13,0,0,0,wadede01
158,Vit Krejci,PG,61,39,0,0,0,dasiltr01
159,Jakob Poeltl,C,0,0,0,0,100,jovicni01
160,Giannis Antetokounmpo,PF,0,0,0,74,26,princta02
161,Nicolas Batum,PF,0,0,42,58,0,balllo01
162,Sandro Mamukelashvili,C,0,0,0,1,99,hartjo01
163,Tre Jones,PG,100,0,0,0,0,johnske04
164,Kawhi Leonard,SF,0,6,70,24,0,okorois01
165,Jordan Clarkson,SG,0,66,33,0,0,manntr01
166,Egor Dёmin,PG,97,3,0,0,0,martity01
167,Andre Drummond,C,0,0,0,0,100,holmgch01
168,Alex Sarr,C,0,0,0,1,99,allenja01
169,Isaiah Stewart,C,0,0,0,35,65,moodymo01
170,Buddy Hield,SG,0,32,58,11,0,thompkl01
171,Paolo Banchero,PF,0,0,0,98,2,hardati02
172,Tyrese Martin,SG,6,71,23,0,0,wareke01
173,Stephon Castle,PG,70,30,0,0,0,kuzmaky01
174,Ryan Dunn,SF,0,3,43,54,0,okogijo01
175,LaMelo Ball,PG,83,17,0,0,0,willija07
176,Josh Minott,PF,0,0,0,57,43,diabamo01
177,Josh Okogie,SG,6,71,23,1,0,fontesi01
178,Patrick Williams,PF,0,0,27,69,4,willipa01
179,OG Anunoby,PF,0,0,17,82,1,willizi01
180,Mike Conley,PG,100,0,0,0,0,elliske01
181,Ziaire Williams,SF,2,19,75,4,0,murrakr01
182,Luguentz Dort,SF,0,1,46,53,1,spencca01
183,Kevin Huerter,SF,0,11,79,11,0,portibo01
184,Luke Kennard,SG,3,52,45,0,0,ighodos01
185,Isaiah Jackson,C,0,0,0,8,91,kesslwa01
186,Jay Huff,C,0,0,0,0,100,porzikr01
187,Jordan Walsh,PF,0,0,34,64,2,hieldbu01
188,Jordan Goodwin,PG,33,60,8,0,0,powelno01
189,Simone Fontecchio,SF,0,0,26,73,1,filipky01
190,Jaylin Williams,PF,0,0,10,49,42,monkma01
191,Javonte Green,SG,12,59,27,2,0,queende01
192,Will Richard,SG,32,52,15,0,0,middlkh01
193,Oso Ighodaro,PF,0,0,0,11,89,davisan02
194,Quinten Post,PF,0,0,0,4,96,knechda01
195,Jonathan Kuminga,PF,0,0,1,63,36,larsspe01
196,Mouhamed Gueye,PF,0,0,0,64,36,kispeco01
197,Bennedict Mathurin,SF,0,40,57,2,0,mcbrimi01
198,D'Angelo Russell,PG,82,18,0,0,0,huntede01
199,Lonzo Ball,PG,51,48,1,0,0,jacksis01
200,Vince Williams Jr.,PG,95,5,0,0,0,portecr01
201,Dru Smith,SG,99,2,0,0,0,anthoco01
202,Kelly Oubre Jr.,SF,0,0,60,41,0,brownbr01
203,Tobias Harris,PF,0,0,0,98,2,baileac01
204,Victor Wembanyama,C,0,0,0,0,100,shamela01
205,Khris Middleton,SF,0,0,5,91,5,mamuksa01
206,Gradey Dick,SG,0,51,46,4,0,dennira01
207,Luke Kornet,C,0,0,0,11,89,risacza01
208,Keon Ellis,SG,54,43,3,0,0,sheppre01
209,Goga Bitadze,C,0,0,0,0,100,watsope01
210,Marcus Smart,SG,19,75,7,0,0,harpedy01
211,Jrue Holiday,PG,100,0,0,0,0,bitadgo01
212,Isaiah Joe,SG,34,66,0,0,0,greenja02
213,Jarrett Allen,C,0,0,0,0,100,youngtr01
214,Steven Adams,C,0,0,0,0,100,sheadja01
215,Ja'Kobe Walter,SG,7,92,2,0,0,claytwa01
216,Sidy Cissoko,SF,39,39,20,2,0,bonaad01
217,Cole Anthony,PG,99,1,0,0,0,nancela02
218,Craig Porter Jr.,PG,100,0,0,0,0,smithdr01
219,Isaac Okoro,SG,0,44,52,4,0,adamsst01
220,Collin Murray-Boyles,PF,0,0,12,74,14,postqu01
221,Tre Mann,PG,84,16,0,0,0,demineg01
222,Dominick Barlow,PF,0,0,0,79,21,horfoal01
223,Aaron Gordon,PF,0,0,0,98,2,hendrta01
224,Keegan Murray,PF,0,0,8,92,0,dosunay01
225,Caris LeVert,SG,10,50,34,7,0,dickgr01
226,Yves Missi,C,0,0,0,1,100,lopezbr01
227,Domantas Sabonis,C,0,0,0,3,98,merrisa01
228,Tre Johnson,SG,18,62,20,0,0,sharpda01
229,Drew Eubanks,C,0,0,0,0,100,clarkjo01
230,Precious Achiuwa,C,0,0,0,60,41,murraco01
231,Day'Ron Sharpe,C,0,0,0,0,100,alvarjo01
232,Micah Peavy,SG,1,28,51,20,0,wilsoja03
233,Cam Whitmore,SF,0,6,57,37,0,gueyemo02
234,Jaxson Hayes,C,0,0,0,0,100,willizi02
235,Tyus Jones,PG,100,0,0,0,0,eubandr01
236,Nique Clifford,SG,9,43,38,11,0,whitmca01
237,Aaron Wiggins,SG,4,25,53,18,0,batumni01
238,Nikola Jović,PF,0,0,0,62,38,drumman01
239,Ja Morant,PG,100,0,0,0,0,richawi02
240,Brice Sensabaugh,SF,0,47,48,5,0,suggsja01
241,Justin Edwards,SF,0,1,85,14,0,baglema01
242,Daniel Gafford,C,0,0,0,0,100,missiyv01
243,Daniss Jenkins,PG,99,1,0,0,0,huffja01
