Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,1,10.0,5.0,0.0,-18.5,0.091,0.267,0.276,0.625,0.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,6-4,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,24,11.3,2.8,2.1,0.6,0.001,0.096,0.126,0.724,0.095
2025-26,1642358,AJ Johnson,1610612764,WAS,21.0,6-5,77,160,None,USA,2024,1,23,10,0.7,0.6,0.4,-21.3,0.042,0.083,0.16,0.237,0.125
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,6-8,80,235,Arizona,USA,2014,1,4,13,18.8,5.9,1.3,20.7,0.053,0.147,0.221,0.676,0.062
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,6-0,72,185,UCLA,USA,2018,1,23,16,9.1,1.0,1.2,16.9,0.008,0.046,0.194,0.642,0.095
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,6-5,77,215,Vanderbilt,USA,2020,1,14,11,15.5,4.5,1.5,-7.0,0.042,0.099,0.199,0.518,0.079
2025-26,1630598,Aaron Wiggins,1610612760,OKC,26.0,6-5,77,190,Maryland,USA,2021,2,55,13,13.8,3.2,2.2,17.8,0.035,0.085,0.206,0.614,0.119
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,6-9,81,200,Rutgers,USA,2025,1,5,23,10.3,3.3,1.7,-10.8,0.054,0.083,0.185,0.547,0.112
2025-26,1641737,Adem Bona,1610612755,PHI,22.0,6-10,82,235,UCLA,Nigeria,2024,2,41,17,3.5,3.7,0.2,2.6,0.09,0.121,0.092,0.583,0.014
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,6-7,79,220,Arkansas,USA,2025,2,36,8,1.3,0.8,0.1,-16.5,0.089,0.054,0.085,0.694,0.027
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,6-4,76,190,California-Santa Barbara,Belgium,2024,2,38,24,14.4,3.3,3.6,18.2,0.021,0.094,0.223,0.572,0.191
2025-26,201143,Al Horford,1610612744,GSW,39.0,6-8,80,240,Florida,Dominican Republic,2007,1,3,13,5.6,4.4,2.0,-7.6,0.037,0.167,0.144,0.453,0.139
2025-26,1627936,Alex Caruso,1610612760,OKC,31.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,15,5.7,2.4,2.5,29.2,0.019,0.105,0.142,0.535,0.16
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,7-0,84,205,None,France,2024,1,2,16,19.1,8.6,3.3,-10.2,0.078,0.19,0.264,0.569,0.177
2025-26,1642918,Alijah Martin,1610612761,TOR,23.0,6-2,74,210,Florida,USA,2025,2,39,1,0.0,0.0,0.0,75.0,0.0,0.0,0.125,0.0,0.0
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,6-11,83,243,None,Turkey,2021,1,16,19,23.1,9.1,7.1,9.6,0.079,0.168,0.261,0.582,0.295
2025-26,1642873,Amari Williams,1610612738,BOS,23.0,6-11,83,250,Kentucky,United Kingdom,2025,2,46,6,0.5,1.2,0.2,-14.8,0.065,0.128,0.041,0.521,0.043
2025-26,1641708,Amen Thompson,1610612745,HOU,22.0,6-7,79,200,None,USA,2023,1,4,21,17.4,7.0,5.1,13.4,0.068,0.118,0.21,0.541,0.197
2025-26,1629599,Amir Coffey,1610612749,MIL,28.0,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,18,1.7,0.8,0.4,-3.5,0.027,0.067,0.078,0.575,0.068
2025-26,203083,Andre Drummond,1610612755,PHI,32.0,6-11,83,279,Connecticut,USA,2012,1,9,22,7.7,9.4,0.8,2.3,0.14,0.269,0.138,0.602,0.051
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,6-6,78,209,Connecticut,USA,2023,2,36,11,1.4,0.9,1.5,1.1,0.083,0.083,0.127,0.422,0.262
2025-26,1629614,Andrew Nembhard,1610612754,IND,25.0,6-4,76,191,Gonzaga,Canada,2022,2,31,15,17.2,2.0,6.3,-16.5,0.01,0.054,0.239,0.56,0.33
2025-26,203952,Andrew Wiggins,1610612748,MIA,30.0,6-6,78,197,Kansas,Canada,2014,1,1,21,16.8,5.0,3.0,-0.3,0.045,0.094,0.205,0.566,0.126
2025-26,1629014,Anfernee Simons,1610612738,BOS,26.0,6-3,75,200,None,USA,2018,1,24,24,13.4,2.3,2.5,4.5,0.015,0.08,0.224,0.581,0.158
2025-26,1641710,Anthony Black,1610612753,ORL,21.0,6-7,79,200,Arkansas,USA,2023,1,6,24,13.2,3.9,3.1,5.2,0.023,0.112,0.207,0.547,0.156
2025-26,203076,Anthony Davis,1610612742,DAL,32.0,6-10,82,253,Kentucky,USA,2012,1,1,10,19.6,10.2,3.2,-4.6,0.103,0.243,0.271,0.571,0.175
2025-26,1630162,Anthony Edwards,1610612750,MIN,24.0,6-4,76,225,Georgia,USA,2020,1,1,19,28.1,4.7,3.9,4.1,0.023,0.111,0.304,0.628,0.185
2025-26,1630264,Anthony Gill,1610612764,WAS,33.0,6-7,79,230,Virginia,USA,Undrafted,Undrafted,Undrafted,9,1.9,0.8,0.0,-1.3,0.054,0.139,0.16,0.97,0.0
2025-26,1641810,Antonio Reeves,1610612766,CHA,25.0,6-5,77,205,Kentucky,USA,2024,2,47,6,3.5,0.8,0.3,24.3,0.018,0.083,0.13,0.656,0.051
2025-26,1630574,Ariel Hukporti,1610612752,NYK,23.0,7-0,84,246,None,Germany,2024,2,58,15,1.3,2.6,0.5,-6.3,0.104,0.173,0.083,0.575,0.087
2025-26,1642854,Asa Newell,1610612737,ATL,20.0,6-10,82,220,Georgia,USA,2025,1,23,15,4.6,1.5,0.4,8.1,0.095,0.081,0.178,0.685,0.072
2025-26,1641709,Ausar Thompson,1610612765,DET,22.0,6-7,79,205,None,USA,2023,1,5,20,11.8,6.0,3.1,7.0,0.071,0.133,0.178,0.543,0.153
2025-26,1630559,Austin Reaves,1610612747,LAL,27.0,6-5,77,197,Oklahoma,USA,Undrafted,Undrafted,Undrafted,20,28.4,5.5,6.7,5.6,0.023,0.125,0.278,0.673,0.28
2025-26,1630245,Ayo Dosunmu,1610612741,CHI,25.0,6-4,76,200,Illinois,USA,2021,2,38,20,15.2,2.7,3.2,-5.6,0.014,0.077,0.19,0.648,0.169
2025-26,1628389,Bam Adebayo,1610612748,MIA,28.0,6-9,81,255,Kentucky,USA,2017,1,14,18,19.2,9.0,2.6,8.4,0.046,0.23,0.244,0.583,0.122
2025-26,1631248,Baylor Scheierman,1610612738,BOS,25.0,6-6,78,205,Creighton,USA,2024,1,30,20,3.4,2.0,0.8,8.9,0.031,0.117,0.093,0.748,0.08
2025-26,1642879,Ben Saraf,1610612751,BKN,19.0,6-6,78,200,None,Israel,2025,1,26,12,5.4,1.6,2.8,-3.4,0.025,0.076,0.191,0.474,0.225
2025-26,1641767,Ben Sheppard,1610612754,IND,24.0,6-6,78,190,Belmont,USA,2023,1,26,22,6.5,4.1,2.0,-8.6,0.028,0.125,0.124,0.46,0.108
2025-26,1631097,Bennedict Mathurin,1610612754,IND,23.0,6-5,77,210,Arizona,Canada,2022,1,6,12,21.2,5.6,2.3,-6.1,0.027,0.138,0.262,0.614,0.118
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,21.0,6-7,79,195,None,France,2023,1,7,12,8.8,4.0,3.0,-10.7,0.017,0.121,0.164,0.498,0.147
2025-26,202687,Bismack Biyombo,1610612759,SAS,33.0,6-8,80,255,None,DRC,2011,1,7,8,0.9,0.8,0.4,-27.3,0.038,0.093,0.059,0.717,0.073
2025-26,1631104,Blake Wesley,1610612757,POR,22.0,6-4,76,190,Notre Dame,USA,2022,1,25,6,6.0,2.3,3.2,1.5,0.018,0.13,0.173,0.469,0.279
2025-26,1626171,Bobby Portis,1610612749,MIL,30.0,6-9,81,250,Arkansas,USA,2015,1,22,25,11.4,5.6,1.4,-5.7,0.05,0.198,0.22,0.559,0.095
2025-26,1641752,Bobi Klintman,1610612765,DET,22.0,6-9,81,225,None,Sweden,2024,2,37,6,2.8,2.7,0.7,-14.4,0.075,0.196,0.19,0.381,0.105
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,33.0,6-5,77,225,None,Serbia,2014,1,27,10,9.2,3.2,3.2,2.6,0.013,0.106,0.177,0.524,0.204
2025-26,1630538,Bones Hyland,1610612750,MIN,25.0,6-2,74,169,Virginia Commonwealth,USA,2021,1,26,14,3.6,1.1,1.3,2.8,0.016,0.104,0.177,0.596,0.207
2025-26,203078,Bradley Beal,1610612746,LAC,32.0,6-4,76,207,Florida,USA,2012,1,3,6,8.2,0.8,1.7,-9.3,0.019,0.025,0.224,0.476,0.106
2025-26,1642382,Branden Carlson,1610612760,OKC,26.0,7-0,84,220,Utah,USA,Undrafted,Undrafted,Undrafted,16,4.6,2.2,0.7,2.8,0.056,0.151,0.18,0.616,0.103
2025-26,1641764,Brandin Podziemski,1610612744,GSW,22.0,6-4,76,205,Santa Clara,USA,2023,1,19,25,12.5,4.7,3.0,0.4,0.024,0.137,0.185,0.572,0.177
2025-26,1627742,Brandon Ingram,1610612761,TOR,28.0,6-8,80,190,Duke,USA,2016,1,2,25,21.2,5.8,3.7,-0.3,0.022,0.152,0.272,0.554,0.167
2025-26,1641706,Brandon Miller,1610612766,CHA,23.0,6-7,79,200,Alabama,USA,2023,1,2,8,16.4,2.5,3.1,-3.8,0.024,0.07,0.302,0.492,0.197
2025-26,1630314,Brandon Williams,1610612742,DAL,26.0,6-1,73,190,Arizona,USA,Undrafted,Undrafted,Undrafted,23,10.8,2.4,4.1,2.8,0.027,0.082,0.245,0.488,0.28
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,22.0,6-6,78,235,Ohio State,USA,2023,1,28,22,8.6,2.5,1.1,-13.7,0.039,0.112,0.221,0.551,0.114
2025-26,1642355,Bronny James,1610612747,LAL,21.0,6-2,74,210,Southern California,USA,2024,2,55,13,2.0,0.7,1.6,-1.3,0.036,0.043,0.144,0.408,0.231
2025-26,201572,Brook Lopez,1610612746,LAC,37.0,7-1,85,282,Stanford,USA,2008,1,10,18,6.1,1.8,0.5,-9.2,0.017,0.109,0.204,0.53,0.06
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,23.0,6-5,77,230,Northwestern,USA,2025,2,44,17,1.7,1.9,0.4,-22.5,0.046,0.184,0.094,0.566,0.092
2025-26,1628971,Bruce Brown,1610612743,DEN,29.0,6-4,76,202,Miami,USA,2018,2,42,23,6.7,3.6,1.8,2.0,0.041,0.108,0.132,0.51,0.098
2025-26,1631121,Bryce McGowens,1610612740,NOP,23.0,6-6,78,190,Nebraska,USA,2022,2,40,14,7.8,1.9,1.5,-5.1,0.012,0.097,0.165,0.604,0.115
2025-26,1642267,Bub Carrington,1610612764,WAS,20.0,6-4,76,190,Pittsburgh,USA,2024,1,14,22,7.0,3.4,4.2,-24.5,0.014,0.114,0.148,0.483,0.224
2025-26,1627741,Buddy Hield,1610612744,GSW,32.0,6-4,76,220,Oklahoma,Bahamas,2016,1,6,25,8.0,2.6,1.6,-8.4,0.035,0.098,0.184,0.526,0.138
2025-26,203468,CJ McCollum,1610612764,WAS,34.0,6-3,75,190,Lehigh,USA,2013,1,10,22,18.6,3.0,3.4,-12.5,0.017,0.078,0.243,0.571,0.167
2025-26,1630595,Cade Cunningham,1610612765,DET,24.0,6-6,78,220,Oklahoma State,USA,2021,1,1,21,27.5,6.4,9.3,8.5,0.038,0.127,0.305,0.562,0.395
2025-26,1631216,Caleb Houstan,1610612737,ATL,22.0,6-8,80,205,Michigan,Canada,2022,2,32,8,2.5,0.6,0.3,-20.5,0.091,0.029,0.173,0.698,0.08
2025-26,1631126,Caleb Love,1610612757,POR,24.0,6-3,75,212,Arizona,USA,Undrafted,Undrafted,Undrafted,16,8.0,2.8,1.9,-12.3,0.029,0.111,0.217,0.426,0.172
2025-26,1628997,Caleb Martin,1610612742,DAL,30.0,6-5,77,205,Nevada,USA,Undrafted,Undrafted,Undrafted,22,1.2,1.5,0.9,-13.2,0.045,0.101,0.093,0.333,0.146
2025-26,1642353,Cam Christie,1610612746,LAC,20.0,6-5,77,190,Minnesota,USA,2024,2,46,16,4.4,2.3,0.6,3.5,0.045,0.131,0.19,0.484,0.079
2025-26,1642285,Cam Spencer,1610612763,MEM,25.0,6-3,75,205,Connecticut,USA,2024,2,53,24,11.1,2.1,3.9,0.8,0.011,0.09,0.182,0.672,0.277
2025-26,1630560,Cam Thomas,1610612751,BKN,24.0,6-3,75,210,Louisiana State,Japan,2021,1,27,8,21.4,1.4,2.6,-15.0,0.012,0.037,0.314,0.546,0.162
2025-26,1641715,Cam Whitmore,1610612764,WAS,21.0,6-6,78,230,Villanova,USA,2023,1,20,21,9.2,2.8,0.7,-19.6,0.049,0.102,0.225,0.528,0.067
2025-26,1629661,Cameron Johnson,1610612743,DEN,29.0,6-8,80,210,North Carolina,USA,2019,1,11,22,11.1,3.4,2.3,9.9,0.029,0.082,0.147,0.59,0.09
2025-26,1627747,Caris LeVert,1610612765,DET,31.0,6-7,79,205,Michigan,USA,2016,1,20,18,9.3,1.7,2.8,0.2,0.013,0.063,0.187,0.584,0.202
2025-26,1642868,Carter Bryant,1610612759,SAS,20.0,6-6,78,220,Arizona,USA,2025,1,14,17,2.4,1.7,0.1,2.8,0.042,0.15,0.162,0.424,0.01
2025-26,1641717,Cason Wallace,1610612760,OKC,22.0,6-3,75,195,Kentucky,USA,2023,1,10,23,8.4,3.0,2.5,18.6,0.028,0.075,0.131,0.552,0.108
2025-26,1642907,Cedric Coward,1610612763,MEM,22.0,6-5,77,206,Washington State,USA,2025,1,11,24,13.3,6.2,2.7,2.9,0.046,0.161,0.197,0.566,0.146
2025-26,1629646,Charles Bassey,1610612763,MEM,25.0,6-10,82,230,Western Kentucky,Nigeria,2021,2,53,2,3.5,7.5,1.0,-8.4,0.175,0.258,0.123,0.376,0.095
2025-26,1642404,Chaz Lanier,1610612765,DET,23.0,6-3,75,206,Tennessee,USA,2025,2,37,13,3.3,1.1,0.8,-2.0,0.041,0.056,0.128,0.496,0.091
2025-26,1631096,Chet Holmgren,1610612760,OKC,23.0,7-1,85,208,Gonzaga,USA,2022,1,2,20,18.6,8.1,1.7,17.9,0.056,0.217,0.238,0.663,0.085
2025-26,1628449,Chris Boucher,1610612738,BOS,32.0,6-8,80,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,8,2.3,2.3,0.4,5.0,0.02,0.154,0.118,0.379,0.043
2025-26,1641753,Chris Livingston,1610612739,CLE,22.0,6-6,78,220,Kentucky,USA,2023,2,58,3,3.0,1.0,0.3,27.0,0.0,0.176,0.189,0.605,0.091
2025-26,1643024,Chris Mañon,1610612747,LAL,23.0,6-4,76,209,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,2,0.0,1.0,0.0,5.7,0.0,0.222,0.045,0.0,0.0
2025-26,101108,Chris Paul,1610612746,LAC,40.0,6-0,72,175,Wake Forest,USA,2005,1,4,16,2.9,1.8,3.3,-17.3,0.026,0.101,0.135,0.413,0.351
2025-26,1642959,Chris Youngblood,1610612760,OKC,23.0,6-4,76,,Alabama,USA,Undrafted,Undrafted,Undrafted,18,1.8,1.0,0.3,-5.9,0.033,0.125,0.142,0.532,0.079
2025-26,1631128,Christian Braun,1610612743,DEN,24.0,6-6,78,220,Kansas,USA,2022,1,21,11,11.4,4.4,3.0,18.2,0.06,0.088,0.158,0.569,0.124
2025-26,1631132,Christian Koloko,1610612747,LAL,25.0,6-11,83,225,Arizona,Cameroon,2022,2,33,2,0.0,0.5,0.0,-83.0,0.0,0.125,0.0,0.0,0.0
2025-26,1642935,Chucky Hepburn,1610612761,TOR,22.0,6-0,72,190,Louisville,USA,Undrafted,Undrafted,Undrafted,1,0.0,1.0,0.0,-35.6,0.0,0.143,0.25,0.0,0.0
2025-26,203991,Clint Capela,1610612745,HOU,31.0,6-10,82,256,None,Switzerland,2014,1,25,20,3.8,4.9,0.5,-1.4,0.192,0.189,0.126,0.579,0.053
2025-26,1629632,Coby White,1610612741,CHI,25.0,6-4,76,195,North Carolina,USA,2019,1,7,7,22.1,2.7,5.4,-0.8,0.009,0.071,0.302,0.58,0.277
2025-26,1628998,Cody Martin,1610612754,IND,30.0,6-6,78,205,Nevada,USA,2019,2,36,4,1.8,3.5,0.5,-20.2,0.013,0.183,0.119,0.277,0.065
2025-26,1642262,Cody Williams,1610612762,UTA,21.0,6-8,80,190,Colorado,USA,2024,1,10,13,2.2,0.9,0.5,-6.5,0.019,0.06,0.117,0.351,0.048
2025-26,1641732,Colby Jones,1610612765,DET,23.0,6-6,78,207,Xavier,USA,2023,2,34,1,2.0,4.0,2.0,80.0,0.0,0.4,0.158,0.333,0.333
2025-26,1630175,Cole Anthony,1610612749,MIL,25.0,6-2,74,185,North Carolina,USA,2020,1,15,23,7.0,2.7,4.0,-7.4,0.027,0.134,0.244,0.474,0.38
2025-26,1631221,Collin Gillespie,1610612756,PHX,26.0,6-1,73,195,Villanova,USA,Undrafted,Undrafted,Undrafted,23,13.3,3.7,4.9,3.8,0.033,0.11,0.193,0.601,0.256
2025-26,1642867,Collin Murray-Boyles,1610612761,TOR,20.0,6-7,79,245,South Carolina,USA,2025,1,9,20,7.0,3.2,1.3,-4.6,0.089,0.09,0.16,0.635,0.11
2025-26,1629012,Collin Sexton,1610612766,CHA,26.0,6-3,75,190,Alabama,USA,2018,1,8,21,15.5,2.2,4.2,-3.7,0.016,0.069,0.244,0.615,0.271
2025-26,1642843,Cooper Flagg,1610612742,DAL,18.0,6-9,81,205,Duke,USA,2025,1,1,24,17.3,6.3,3.3,-8.4,0.034,0.142,0.221,0.551,0.151
2025-26,1630557,Corey Kispert,1610612764,WAS,26.0,6-6,78,224,Gonzaga,USA,2021,1,15,17,8.9,2.5,1.7,-4.9,0.016,0.091,0.147,0.657,0.114
2025-26,1641854,Craig Porter Jr.,1610612739,CLE,25.0,6-1,73,180,Wichita State,USA,Undrafted,Undrafted,Undrafted,22,5.4,3.2,2.3,3.3,0.073,0.103,0.123,0.586,0.185
2025-26,1642938,Curtis Jones,1610612743,DEN,24.0,6-3,75,195,Iowa State,,Undrafted,Undrafted,Undrafted,2,1.0,1.0,0.0,38.1,0.25,0.143,0.375,0.333,0.0
2025-26,1626156,D'Angelo Russell,1610612742,DAL,29.0,6-3,75,193,Ohio State,USA,2015,1,2,21,11.2,2.6,4.3,-1.8,0.019,0.094,0.274,0.51,0.342
2025-26,1641747,DaRon Holmes II,1610612743,DEN,23.0,6-9,81,225,Dayton,USA,2024,1,22,2,1.5,0.0,0.0,-29.1,0.0,0.0,0.091,1.5,0.0
2025-26,1631342,Daeqwon Plowden,1610612758,SAC,27.0,6-4,76,216,Bowling Green,USA,Undrafted,Undrafted,Undrafted,1,2.0,2.0,0.0,-50.0,0.154,0.0,0.152,0.2,0.0
2025-26,1631207,Dalen Terry,1610612741,CHI,23.0,6-6,78,195,Arizona,USA,2022,1,18,13,3.1,1.8,1.5,6.6,0.046,0.096,0.13,0.512,0.188
2025-26,1642261,Dalton Knecht,1610612747,LAL,24.0,6-6,78,215,Tennessee,USA,2024,1,17,19,6.5,1.9,0.6,-7.8,0.033,0.09,0.162,0.576,0.063
2025-26,1629655,Daniel Gafford,1610612742,DAL,27.0,6-10,82,265,Arkansas,USA,2019,2,38,15,8.9,6.4,1.3,-1.9,0.092,0.16,0.145,0.664,0.083
2025-26,1642450,Daniss Jenkins,1610612765,DET,24.0,6-4,76,165,St. John's,USA,Undrafted,Undrafted,Undrafted,19,8.3,1.9,3.5,2.8,0.034,0.07,0.202,0.533,0.278
2025-26,1642874,Danny Wolf,1610612751,BKN,21.0,6-11,83,250,Michigan,USA,2025,1,27,9,7.9,3.9,1.8,6.1,0.052,0.193,0.211,0.61,0.188
2025-26,203967,Dario Šarić,1610612758,SAC,31.0,6-10,82,225,None,Croatia,2014,1,12,3,1.7,1.7,0.7,8.2,0.05,0.138,0.113,0.425,0.083
2025-26,1629636,Darius Garland,1610612739,CLE,25.0,6-1,73,192,Vanderbilt,USA,2019,1,5,9,14.0,3.0,6.2,-6.5,0.023,0.078,0.24,0.486,0.303
2025-26,1642357,David Jones Garcia,1610612759,SAS,24.0,6-4,76,210,Memphis,Dominican Republic,Undrafted,Undrafted,Undrafted,10,3.2,1.2,1.8,22.6,0.06,0.131,0.181,0.579,0.316
2025-26,1630558,Davion Mitchell,1610612748,MIA,27.0,6-0,72,202,Baylor,USA,2021,1,9,23,9.7,2.7,7.8,6.2,0.014,0.067,0.133,0.587,0.316
2025-26,1630549,Day'Ron Sharpe,1610612751,BKN,24.0,6-10,82,265,North Carolina,USA,2021,1,29,22,7.0,5.4,1.8,-5.5,0.121,0.221,0.187,0.637,0.182
2025-26,1628368,De'Aaron Fox,1610612759,SAS,27.0,6-3,75,185,Kentucky,USA,2017,1,5,14,25.0,3.7,6.5,3.2,0.028,0.077,0.297,0.612,0.306
2025-26,1629631,De'Andre Hunter,1610612739,CLE,28.0,6-7,79,221,Virginia,USA,2019,1,4,21,16.0,4.3,2.5,-1.0,0.021,0.124,0.217,0.572,0.126
2025-26,1629001,De'Anthony Melton,1610612744,GSW,27.0,6-2,74,200,Southern California,USA,2018,2,46,2,13.5,1.0,2.0,-9.2,0.0,0.043,0.315,0.574,0.222
2025-26,201599,DeAndre Jordan,1610612740,NOP,37.0,6-11,83,265,Texas A&M,USA,2008,2,35,2,4.5,5.0,0.0,-62.1,0.129,0.222,0.113,0.765,0.0
2025-26,201942,DeMar DeRozan,1610612758,SAC,36.0,6-6,78,220,Southern California,USA,2009,1,9,23,17.9,3.0,3.5,-10.2,0.014,0.079,0.2,0.595,0.157
2025-26,1629731,Dean Wade,1610612739,CLE,29.0,6-9,81,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,23,5.3,3.8,1.6,3.0,0.037,0.123,0.099,0.508,0.093
2025-26,1629028,Deandre Ayton,1610612747,LAL,27.0,7-0,84,252,Arizona,Bahamas,2018,1,1,21,15.3,8.8,0.9,3.0,0.106,0.203,0.185,0.71,0.046
2025-26,1630166,Deni Avdija,1610612757,POR,24.0,6-8,80,228,None,Israel,2020,1,9,24,25.8,7.2,6.3,1.2,0.033,0.172,0.274,0.63,0.284
2025-26,203471,Dennis Schröder,1610612758,SAC,32.0,6-1,73,175,None,Germany,2013,1,17,18,12.4,3.7,6.0,-12.1,0.014,0.109,0.207,0.495,0.303
2025-26,1641726,Dereck Lively II,1610612742,DAL,21.0,7-1,85,230,Duke,USA,2023,1,12,7,4.3,5.3,1.9,6.3,0.117,0.183,0.113,0.67,0.153
2025-26,1642852,Derik Queen,1610612740,NOP,20.0,6-9,81,250,Maryland,USA,2025,1,13,24,12.0,6.3,3.6,-9.9,0.071,0.191,0.226,0.546,0.22
2025-26,1627884,Derrick Jones Jr.,1610612746,LAC,28.0,6-6,78,210,UNLV,USA,Undrafted,Undrafted,Undrafted,13,10.5,2.4,1.1,-8.2,0.036,0.062,0.149,0.652,0.06
