Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
2025-26,1630639,A.J. Lawson,1610612761,TOR,25.0,A.J.,0.7,1.4,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.422,0.0,0.0,0.0
2025-26,1631260,AJ Green,1610612749,MIL,26.0,AJ,0.2,0.3,0.565,0.2,0.3,0.48,0.1,0.2,0.313,3.0,7.1,0.419,0.0,0.0,0.0
2025-26,1642358,AJ Johnson,1610612742,DAL,21.0,AJ,1.0,2.4,0.393,0.0,0.1,0.2,0.0,0.1,0.0,0.3,1.2,0.211,0.0,0.0,0.0
2025-26,203932,Aaron Gordon,1610612743,DEN,30.0,Aaron,3.0,4.7,0.649,0.4,1.3,0.356,0.3,0.8,0.429,1.7,4.4,0.389,0.0,0.0,0.0
2025-26,1628988,Aaron Holiday,1610612745,HOU,29.0,Aaron,0.5,0.8,0.636,0.2,0.5,0.31,0.0,0.2,0.111,1.2,3.0,0.394,0.0,0.0,0.0
2025-26,1630174,Aaron Nesmith,1610612754,IND,26.0,Aaron,1.5,3.1,0.496,0.7,1.6,0.443,0.2,0.6,0.269,2.3,6.2,0.379,0.0,0.0,0.0
2025-26,1630598,Aaron Wiggins,1610612760,OKC,27.0,Aaron,1.8,3.3,0.538,0.3,0.7,0.37,0.1,0.1,0.5,1.5,4.2,0.356,0.0,0.0,0.0
2025-26,1642846,Ace Bailey,1610612762,UTA,19.0,Ace,2.1,3.3,0.65,0.8,1.8,0.429,0.7,1.8,0.386,1.9,5.5,0.344,0.0,0.0,0.0
2025-26,1642380,Adama Bal,1610612763,MEM,22.0,Adama,1.3,2.3,0.556,0.0,0.5,0.0,0.0,0.3,0.0,2.3,5.5,0.409,0.0,0.0,0.0
2025-26,1641737,Adem Bona,1610612755,PHI,23.0,Adem,1.8,2.9,0.608,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.0,0.0
2025-26,1642876,Adou Thiero,1610612747,LAL,21.0,Adou,0.6,1.1,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.0,0.0
2025-26,1642349,Ajay Mitchell,1610612760,OKC,23.0,Ajay,2.9,5.2,0.562,0.9,1.6,0.57,0.1,0.4,0.208,1.1,3.1,0.347,0.0,0.0,0.0
2025-26,201143,Al Horford,1610612744,GSW,39.0,Al,1.1,2.0,0.557,0.3,0.6,0.444,0.1,0.1,0.75,1.6,4.6,0.361,0.0,0.0,0.0
2025-26,1630828,Alex Antetokounmpo,1610612749,MIL,24.0,Alex,0.0,0.0,0.0,0.2,0.2,1.0,0.0,0.0,0.0,0.3,1.2,0.286,0.0,0.0,0.0
2025-26,1627936,Alex Caruso,1610612760,OKC,32.0,Alex,1.2,1.9,0.638,0.1,0.2,0.455,0.0,0.1,0.667,0.9,3.2,0.293,0.0,0.0,0.0
2025-26,1631457,Alex Morales,1610612753,ORL,28.0,Alex,0.5,1.3,0.4,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
2025-26,1642259,Alex Sarr,1610612764,WAS,20.0,Alex,4.6,7.9,0.584,0.8,2.1,0.376,0.2,0.6,0.286,1.0,3.1,0.333,0.0,0.0,0.0
2025-26,1642918,Alijah Martin,1610612761,TOR,24.0,Alijah,0.5,1.0,0.5,0.1,0.4,0.143,0.0,0.0,0.0,0.2,0.9,0.19,0.0,0.0,0.0
2025-26,1631214,Alondes Williams,1610612764,WAS,26.0,Alondes,2.5,2.5,1.0,0.3,0.3,1.0,0.0,0.3,0.0,1.3,3.5,0.357,0.0,0.0,0.0
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,Alperen,6.0,9.8,0.615,1.5,3.6,0.414,0.2,0.6,0.256,0.6,1.8,0.305,0.0,0.0,0.0
2025-26,1642873,Amari Williams,1610612738,BOS,24.0,Amari,0.5,0.9,0.556,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1641708,Amen Thompson,1610612745,HOU,23.0,Amen,5.6,8.7,0.65,0.8,2.3,0.363,0.3,0.8,0.333,0.3,1.5,0.217,0.0,0.0,0.0
2025-26,1629599,Amir Coffey,1610612756,PHX,28.0,Amir,0.5,0.8,0.694,0.2,0.4,0.421,0.1,0.2,0.556,0.4,1.1,0.347,0.0,0.0,0.0
2025-26,1643158,Andersson Garcia,1610612762,UTA,25.0,Andersson,1.6,3.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.6,0.077,0.0,0.0,0.0
2025-26,203083,Andre Drummond,1610612755,PHI,32.0,Andre,1.9,3.6,0.524,0.1,0.3,0.389,0.0,0.0,0.0,0.5,1.4,0.356,0.0,0.0,0.0
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,Andre,0.5,1.0,0.477,0.1,0.3,0.231,0.0,0.1,0.0,0.3,1.3,0.25,0.0,0.0,0.0
2025-26,1629614,Andrew Nembhard,1610612754,IND,26.0,Andrew,2.0,3.4,0.571,1.3,2.7,0.49,0.7,1.9,0.361,1.9,5.2,0.361,0.0,0.0,0.0
2025-26,203952,Andrew Wiggins,1610612748,MIA,31.0,Andrew,2.8,4.8,0.588,0.6,1.6,0.357,0.3,0.8,0.412,2.0,4.9,0.414,0.0,0.0,0.0
2025-26,1629014,Anfernee Simons,1610612741,CHI,26.0,Anfernee,1.3,2.2,0.597,0.9,1.7,0.533,0.3,1.1,0.328,2.7,6.9,0.385,0.0,0.0,0.0
2025-26,1641710,Anthony Black,1610612753,ORL,22.0,Anthony,3.2,5.6,0.569,0.5,1.2,0.43,0.1,0.6,0.222,1.5,4.7,0.331,0.0,0.0,1.0
2025-26,203076,Anthony Davis,1610612764,WAS,33.0,Anthony,5.8,9.1,0.637,1.4,3.7,0.365,0.8,2.1,0.39,0.5,1.9,0.27,0.0,0.0,0.0
2025-26,1630162,Anthony Edwards,1610612750,MIN,24.0,Anthony,4.0,6.2,0.651,1.6,3.5,0.472,0.9,2.1,0.402,3.4,8.4,0.399,0.0,0.0,0.0
2025-26,1630264,Anthony Gill,1610612764,WAS,33.0,Anthony,2.0,2.7,0.759,0.2,0.4,0.364,0.0,0.0,0.0,0.3,0.9,0.354,0.0,0.0,0.0
2025-26,1641810,Antonio Reeves,1610612766,CHA,25.0,Antonio,0.2,0.6,0.4,0.1,0.2,0.5,0.0,0.0,0.0,0.7,1.3,0.538,0.0,0.0,0.0
2025-26,1630574,Ariel Hukporti,1610612752,NYK,24.0,Ariel,0.8,1.2,0.651,0.1,0.3,0.231,0.0,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0
2025-26,1642854,Asa Newell,1610612737,ATL,20.0,Asa,1.4,2.0,0.705,0.0,0.1,0.0,0.0,0.0,0.0,0.7,1.7,0.387,0.0,0.0,0.0
2025-26,1641709,Ausar Thompson,1610612765,DET,23.0,Ausar,3.6,6.2,0.588,0.4,1.2,0.315,0.0,0.2,0.25,0.1,0.3,0.217,0.0,0.0,1.0
2025-26,1630559,Austin Reaves,1610612747,LAL,27.0,Austin,3.7,5.6,0.669,1.2,2.6,0.459,0.1,0.3,0.235,2.3,6.4,0.36,0.0,0.0,0.0
2025-26,1630245,Ayo Dosunmu,1610612750,MIN,26.0,Ayo,3.3,5.8,0.573,0.4,0.8,0.491,0.1,0.2,0.583,1.8,4.0,0.437,0.0,0.0,1.0
2025-26,1628389,Bam Adebayo,1610612748,MIA,28.0,Bam,3.7,6.1,0.604,1.3,3.4,0.382,0.2,0.7,0.308,1.7,5.5,0.318,0.0,0.0,0.0
2025-26,1631248,Baylor Scheierman,1610612738,BOS,25.0,Baylor,0.4,0.5,0.667,0.3,0.5,0.513,0.1,0.1,0.667,1.3,3.2,0.399,0.0,0.0,0.0
2025-26,1642879,Ben Saraf,1610612751,BKN,20.0,Ben,2.1,4.2,0.508,0.2,0.6,0.308,0.0,0.1,0.0,0.4,2.0,0.211,0.0,0.0,0.0
2025-26,1641767,Ben Sheppard,1610612754,IND,24.0,Ben,1.1,1.9,0.585,0.1,0.3,0.429,0.0,0.2,0.273,1.3,3.6,0.362,0.0,0.0,0.0
2025-26,1631097,Bennedict Mathurin,1610612746,LAC,23.0,Bennedict,2.6,4.9,0.544,0.8,1.8,0.434,0.6,1.5,0.39,1.4,4.4,0.315,0.0,0.0,0.0
2025-26,1643016,Bez Mbeng,1610612762,UTA,22.0,Bez,2.9,4.3,0.672,0.1,0.3,0.2,0.0,0.0,0.0,0.4,2.1,0.194,0.0,0.0,0.0
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,21.0,Bilal,2.6,4.8,0.538,0.3,0.9,0.28,0.1,0.4,0.381,1.2,3.6,0.319,0.0,0.0,0.0
2025-26,202687,Bismack Biyombo,1610612759,SAS,33.0,Bismack,0.4,0.6,0.692,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642396,Blake Hinson,1610612762,UTA,26.0,Blake,1.3,1.9,0.692,0.3,0.6,0.5,0.0,0.1,0.0,2.6,5.6,0.468,0.0,0.0,0.0
2025-26,1631104,Blake Wesley,1610612757,POR,23.0,Blake,1.4,2.1,0.646,0.1,0.6,0.188,0.0,0.3,0.143,0.3,1.2,0.278,0.0,0.0,0.0
2025-26,1626171,Bobby Portis,1610612749,MIL,31.0,Bobby,1.5,2.7,0.57,1.1,2.3,0.497,0.8,1.8,0.433,2.0,4.4,0.456,0.0,0.0,0.0
2025-26,1641752,Bobi Klintman,1610612765,DET,23.0,Bobi,0.4,1.0,0.364,0.1,0.2,0.5,0.0,0.1,0.0,0.4,1.2,0.308,0.0,0.0,0.0
2025-26,203992,Bogdan Bogdanović,1610612746,LAC,33.0,Bogdan,0.6,1.3,0.448,0.5,0.9,0.579,0.1,0.4,0.222,1.4,4.1,0.347,0.0,0.0,0.0
2025-26,1630538,Bones Hyland,1610612750,MIN,25.0,Bones,1.0,1.8,0.584,0.3,0.5,0.563,0.1,0.2,0.417,1.6,4.2,0.388,0.0,0.0,0.0
2025-26,203078,Bradley Beal,1610612746,LAC,32.0,Bradley,1.2,1.8,0.636,0.3,2.0,0.167,0.3,1.0,0.333,1.2,3.2,0.368,0.0,0.0,0.0
2025-26,1642382,Branden Carlson,1610612760,OKC,26.0,Branden,1.6,2.3,0.705,0.0,0.1,0.0,0.0,0.1,0.0,0.7,2.0,0.36,0.0,0.0,0.0
2025-26,1641764,Brandin Podziemski,1610612744,GSW,23.0,Brandin,2.0,3.0,0.655,0.7,1.8,0.386,0.3,0.7,0.367,1.9,5.0,0.371,0.0,0.0,0.0
2025-26,1629634,Brandon Clarke,1610612763,MEM,29.0,Brandon,1.0,4.0,0.25,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1627742,Brandon Ingram,1610612761,TOR,28.0,Brandon,2.3,3.9,0.583,2.6,5.3,0.495,1.3,2.9,0.451,1.8,4.6,0.381,0.0,0.0,0.0
2025-26,1641706,Brandon Miller,1610612766,CHA,23.0,Brandon,2.3,4.2,0.555,1.3,2.9,0.434,0.2,0.7,0.333,3.1,8.2,0.383,0.0,0.0,0.0
2025-26,1630314,Brandon Williams,1610612742,DAL,26.0,Brandon,2.9,5.2,0.569,0.7,1.3,0.517,0.2,0.5,0.469,0.5,2.3,0.234,0.0,0.0,0.0
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,22.0,Brice,1.9,3.0,0.655,0.9,2.1,0.429,0.3,0.5,0.528,2.2,6.0,0.367,0.0,0.0,0.0
2025-26,1642355,Bronny James,1610612747,LAL,21.0,Bronny,0.3,0.6,0.538,0.2,0.5,0.316,0.1,0.4,0.385,0.5,1.4,0.386,0.0,0.0,0.0
2025-26,201572,Brook Lopez,1610612746,LAC,38.0,Brook,1.1,1.8,0.588,0.5,1.1,0.463,0.0,0.1,0.111,1.5,4.2,0.36,0.0,0.0,0.0
2025-26,1642964,Brooks Barnhizer,1610612760,OKC,24.0,Brooks,0.4,0.8,0.5,0.1,0.4,0.333,0.0,0.1,0.0,0.2,0.6,0.292,0.0,0.0,0.0
2025-26,1628971,Bruce Brown,1610612743,DEN,29.0,Bruce,2.0,3.4,0.582,0.3,1.0,0.321,0.0,0.1,0.0,0.7,1.8,0.385,0.0,0.0,0.0
2025-26,1631121,Bryce McGowens,1610612740,NOP,23.0,Bryce,1.5,2.8,0.556,0.2,0.6,0.375,0.1,0.1,0.667,0.9,2.2,0.409,0.0,0.0,0.0
2025-26,1642267,Bub Carrington,1610612764,WAS,20.0,Bub,0.5,1.2,0.402,0.6,1.3,0.45,0.7,1.5,0.471,2.1,5.0,0.408,0.0,0.0,0.0
2025-26,1631205,Buddy Boeheim,1610612760,OKC,26.0,Buddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.333,,,
2025-26,1627741,Buddy Hield,1610612737,ATL,33.0,Buddy,1.2,1.7,0.694,0.2,0.3,0.533,0.0,0.3,0.133,1.5,4.2,0.349,0.0,0.0,0.0
2025-26,1643047,CJ Huntley,1610612756,PHX,24.0,CJ,1.3,1.8,0.714,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0.8,0.0,,,
2025-26,203468,CJ McCollum,1610612737,ATL,34.0,CJ,2.3,4.2,0.544,1.5,2.9,0.527,0.6,1.4,0.423,2.5,6.7,0.375,0.0,0.0,0.0
2025-26,1630595,Cade Cunningham,1610612765,DET,24.0,Cade,4.3,8.0,0.544,1.6,3.5,0.449,0.7,1.4,0.506,2.0,5.7,0.342,0.0,0.0,0.0
2025-26,1631216,Caleb Houstan,1610612737,ATL,23.0,Caleb,0.1,0.2,0.5,0.1,0.1,1.0,0.0,0.0,0.0,0.6,1.2,0.524,0.0,0.0,0.0
2025-26,1631126,Caleb Love,1610612757,POR,24.0,Caleb,1.4,2.7,0.515,0.3,0.7,0.412,0.3,0.6,0.467,1.9,6.1,0.318,0.0,0.0,0.0
2025-26,1628997,Caleb Martin,1610612742,DAL,30.0,Caleb,0.9,1.6,0.6,0.1,0.3,0.211,0.1,0.4,0.304,0.3,1.0,0.351,0.0,0.0,0.0
2025-26,1642353,Cam Christie,1610612746,LAC,20.0,Cam,0.6,1.2,0.485,0.2,0.5,0.391,0.0,0.0,0.0,0.2,0.9,0.245,0.0,0.0,0.0
2025-26,1642285,Cam Spencer,1610612763,MEM,26.0,Cam,0.5,1.1,0.506,0.8,1.4,0.545,0.3,0.8,0.436,2.0,4.5,0.449,0.0,0.0,0.0
2025-26,1630560,Cam Thomas,1610612749,MIL,24.0,Cam,1.4,2.9,0.492,1.4,2.9,0.471,0.5,1.3,0.404,1.2,4.0,0.311,0.0,0.0,0.0
2025-26,1641715,Cam Whitmore,1610612764,WAS,21.0,Cam,2.7,4.3,0.622,0.2,0.8,0.25,0.0,0.3,0.143,0.8,2.7,0.286,0.0,0.0,0.0
2025-26,1629661,Cameron Johnson,1610612743,DEN,30.0,Cameron,1.7,2.7,0.63,0.3,0.8,0.356,0.2,0.5,0.357,2.0,4.7,0.43,0.0,0.0,0.0
2025-26,1626166,Cameron Payne,1610612755,PHI,31.0,Cameron,0.7,1.4,0.516,0.4,0.9,0.444,0.0,0.1,0.0,1.5,4.4,0.33,0.0,0.0,0.0
2025-26,1627747,Caris LeVert,1610612765,DET,31.0,Caris,1.3,2.4,0.556,0.4,1.0,0.379,0.0,0.2,0.182,1.0,3.0,0.333,0.0,0.0,0.0
2025-26,1642868,Carter Bryant,1610612759,SAS,20.0,Carter,0.7,1.3,0.553,0.1,0.2,0.286,0.0,0.0,0.0,0.7,2.2,0.335,0.0,0.0,0.0
2025-26,1641717,Cason Wallace,1610612760,OKC,22.0,Cason,1.8,3.2,0.54,0.1,0.5,0.314,0.1,0.1,0.455,1.3,3.7,0.351,0.0,0.0,0.0
2025-26,1642907,Cedric Coward,1610612763,MEM,22.0,Cedric,2.7,4.3,0.642,0.6,1.5,0.406,0.0,0.2,0.25,1.5,4.4,0.338,0.0,0.0,0.0
2025-26,1643052,Chaney Johnson,1610612751,BKN,23.0,Chaney,2.2,3.2,0.673,0.3,0.5,0.556,0.0,0.0,0.0,0.5,1.8,0.3,0.0,0.0,0.0
2025-26,1629646,Charles Bassey,1610612744,GSW,25.0,Charles,2.2,3.1,0.7,0.2,0.5,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1642404,Chaz Lanier,1610612765,DET,24.0,Chaz,0.0,0.1,0.333,0.2,0.3,0.556,0.1,0.4,0.3,0.6,2.0,0.284,0.0,0.0,0.0
2025-26,1631096,Chet Holmgren,1610612760,OKC,23.0,Chet,4.0,5.7,0.701,0.8,1.6,0.491,0.2,0.5,0.5,1.3,3.5,0.362,0.0,0.0,0.0
2025-26,1628449,Chris Boucher,1610612738,BOS,33.0,Chris,0.7,1.0,0.667,0.0,0.0,0.0,0.0,0.1,0.0,0.2,1.7,0.133,0.0,0.0,0.0
2025-26,1641753,Chris Livingston,1610612739,CLE,22.0,Chris,1.3,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-26,1643024,Chris Mañon,1610612747,LAL,24.0,Chris,0.3,0.3,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
2025-26,101108,Chris Paul,1610612746,LAC,40.0,Chris,0.3,0.4,0.571,0.1,0.9,0.143,0.1,0.3,0.4,0.6,1.9,0.333,0.0,0.0,0.0
2025-26,1642959,Chris Youngblood,1610612757,POR,24.0,Chris,0.1,0.2,0.6,0.0,0.1,0.333,0.0,0.0,0.0,0.5,1.6,0.333,0.0,0.0,0.0
2025-26,1631128,Christian Braun,1610612743,DEN,24.0,Christian,3.3,4.9,0.677,0.2,0.3,0.5,0.1,0.3,0.333,1.0,3.3,0.301,0.0,0.0,0.0
2025-26,1631132,Christian Koloko,1610612737,ATL,25.0,Christian,1.0,1.9,0.529,0.1,0.5,0.25,0.0,0.1,0.0,0.0,0.3,0.111,0.0,0.0,0.0
2025-26,1642935,Chucky Hepburn,1610612761,TOR,23.0,Chucky,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
2025-26,203991,Clint Capela,1610612745,HOU,31.0,Clint,1.5,2.9,0.537,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2025-26,1629632,Coby White,1610612766,CHA,26.0,Coby,2.5,4.4,0.573,0.5,1.2,0.466,0.2,0.5,0.37,2.3,6.4,0.362,0.0,0.0,0.0
2025-26,1628998,Cody Martin,1610612754,IND,30.0,Cody,0.5,1.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
2025-26,1642262,Cody Williams,1610612762,UTA,21.0,Cody,2.5,4.1,0.608,0.4,1.1,0.403,0.2,0.5,0.455,0.4,2.0,0.214,0.0,0.0,0.0
2025-26,1641732,Colby Jones,1610612765,DET,23.0,Colby,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,
2025-26,1630175,Cole Anthony,1610612749,MIL,25.0,Cole,1.0,2.2,0.462,0.9,1.8,0.516,0.3,0.6,0.421,0.6,2.1,0.306,0.0,0.0,0.0
2025-26,1630658,Colin Castleton,1610612753,ORL,25.0,Colin,0.3,0.8,0.333,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-26,1631221,Collin Gillespie,1610612756,PHX,26.0,Collin,0.6,1.2,0.484,0.7,1.6,0.443,0.2,0.5,0.425,2.9,7.2,0.401,0.0,0.0,0.0
2025-26,1642867,Collin Murray-Boyles,1610612761,TOR,20.0,Collin,3.1,4.6,0.659,0.1,0.3,0.294,0.0,0.2,0.182,0.3,0.9,0.34,0.0,0.0,0.0
2025-26,1629012,Collin Sexton,1610612741,CHI,27.0,Collin,2.8,4.9,0.57,0.6,1.3,0.494,0.2,0.6,0.333,1.6,4.1,0.401,0.0,0.0,0.0
2025-26,1642843,Cooper Flagg,1610612742,DAL,19.0,Cooper,4.7,8.0,0.594,1.6,3.7,0.432,0.6,1.9,0.333,1.0,3.5,0.294,0.0,0.0,0.0
2025-26,1630557,Corey Kispert,1610612737,ATL,27.0,Corey,1.5,2.4,0.628,0.2,0.4,0.55,0.0,0.0,0.0,1.5,4.1,0.367,0.0,0.0,0.0
2025-26,1642504,Cormac Ryan,1610612749,MIL,27.0,Cormac,2.0,2.8,0.71,0.4,0.9,0.4,0.0,0.2,0.0,2.5,5.4,0.458,0.0,0.0,0.0
2025-26,1641854,Craig Porter Jr.,1610612739,CLE,26.0,Craig,0.9,1.7,0.557,0.3,0.9,0.382,0.0,0.1,0.75,0.5,1.5,0.355,0.0,0.0,0.0
2025-26,1642938,Curtis Jones,1610612743,DEN,24.0,Curtis,0.2,0.6,0.333,0.3,0.3,1.0,0.0,0.0,0.0,0.6,1.8,0.333,0.0,0.0,0.0
2025-26,1626156,D'Angelo Russell,1610612764,WAS,30.0,D'Angelo,1.2,2.1,0.545,0.9,1.8,0.511,0.3,0.7,0.389,1.3,4.3,0.295,0.0,0.0,0.0
2025-26,1629610,DaQuan Jeffries,1610612758,SAC,28.0,DaQuan,2.3,3.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0,0.444,0.0,0.0,0.0
2025-26,1641747,DaRon Holmes II,1610612743,DEN,23.0,DaRon,0.4,0.6,0.643,0.1,0.1,1.0,0.0,0.0,0.0,0.8,1.8,0.444,0.0,0.0,0.0
